station,valid,high,low,rh_min,rh,rh_max,gdd50,solar_mj,precip,speed
CRFI4,2020-06-20,82.90399999999988,66.34399999999991,74.57,93.2966661453247,100.0,24.6,14.696639999999999,0.29999998,4.3475804
CRFI4,2020-06-21,87.51199999999989,63.913999999999966,64.13,85.49166615804036,100.0,25.0,24.14016,0.010000001,3.6323278
CRFI4,2020-06-22,74.83999999999996,58.675999999999924,88.2,94.77499993642171,100.0,16.8,7.62048,1.5400001,4.630761
CRFI4,2020-06-23,76.78399999999992,57.28999999999996,60.37,81.80458243687947,98.2,17.0,19.50048,0.0,6.142533
CRFI4,2020-06-24,81.55399999999989,57.793999999999905,48.2,78.5304168065389,99.8,19.7,24.287041000000002,0.020000001,4.7506113
CRFI4,2020-06-25,85.90999999999991,58.26199999999989,40.77,73.53833325703938,99.4,22.1,26.90496,0.37,4.0516987
CRFI4,2020-06-26,88.3939999999999,70.2859999999999,66.96,83.3870833714803,98.9,28.1,15.41376,1.9,6.6717353
CRFI4,2020-06-27,85.90999999999991,69.09799999999996,76.69,90.80916659037273,100.0,27.5,16.994880000000002,0.14999999,2.3970077
CRFI4,2020-06-28,85.31599999999995,67.17199999999997,77.07,92.01166661580403,100.0,26.2,15.102720999999999,0.65000004,4.0022554
CRFI4,2020-06-29,89.50999999999992,74.3359999999999,71.9,84.82666651407878,97.0,30.2,22.87008,0.0,5.674342
CRFI4,2020-06-30,80.95999999999991,69.3859999999999,80.6,93.32916673024495,99.6,25.2,10.67904,0.0,4.7741313
CRFI4,2020-07-01,80.9779999999999,68.89999999999993,81.8,95.82500012715657,100.0,24.9,9.097921,0.21000001,2.7917202
CRFI4,2020-07-02,88.42999999999998,68.77399999999994,60.42,85.31374947230022,100.0,27.4,21.2976,0.0,3.3766875
CRFI4,2020-07-03,88.32199999999997,,-100.0,47.03624947865804,98.1,18.0,22.09248,0.0,2.7233312
CRFI4,2020-07-04,91.75999999999992,67.04599999999998,50.49,79.82250006993611,99.5,26.5,23.65632,0.0,1.9648091
CRFI4,2020-07-05,93.70399999999988,,-100.0,74.48894761738025,100.0,18.0,22.602240000000002,0.0,0.750075
CRFI4,2020-07-06,93.48799999999987,67.6939999999999,54.71,81.48863636363636,100.0,26.8,23.993281,0.0,0.7415757
CRFI4,2020-07-07,93.39799999999995,,63.65,86.97263215717517,99.9,18.0,22.446720000000003,2.44,1.5542716
CRFI4,2020-07-08,93.54199999999993,71.59999999999994,65.14,86.13714163643974,100.0,28.8,21.67776,0.0,2.0542293
CRFI4,2020-07-09,90.73399999999992,68.52199999999998,67.92,90.05260898755944,99.7,27.3,18.69696,0.4,4.957389
CRFI4,2020-07-10,87.76399999999997,65.26399999999997,53.78,80.44125000635783,99.1,25.6,24.64128,0.0,4.4943805
CRFI4,2020-07-11,90.49999999999993,65.28199999999995,56.07,81.99958403905232,100.0,25.6,22.41216,0.0,3.1533527
CRFI4,2020-07-12,86.2699999999999,63.15799999999994,56.08,81.87708377838135,100.0,24.6,24.131520000000002,0.0,2.7400403
CRFI4,2020-07-13,87.20599999999996,60.90799999999994,55.56,79.64541657765706,100.0,23.5,24.7104,0.0,2.4454403
CRFI4,2020-07-14,87.65599999999996,65.80399999999989,68.52,82.54272773049094,95.4,25.9,18.85248,0.0,4.4049397
CRFI4,2020-07-15,77.6119999999999,63.46399999999997,85.8,95.72916666666667,100.0,20.5,5.5321924,1.92,2.75985
CRFI4,2020-07-16,87.8359999999999,62.22199999999997,59.78,88.29999987284343,100.0,24.1,20.62368,0.0,0.48995
CRFI4,2020-07-17,89.31199999999988,63.913999999999966,74.5,90.70999977805398,100.0,25.0,21.997439999999997,0.0,2.1192153
CRFI4,2020-07-18,92.37199999999997,74.49799999999996,72.63,89.6745456348766,100.0,30.2,20.67552,0.0,4.6815605
CRFI4,2020-07-19,86.95399999999988,67.60399999999989,54.37,80.4249997138977,97.7,26.8,17.57376,0.0,3.5071375
CRFI4,2020-07-20,80.22199999999997,65.7859999999999,76.6,92.07391257908033,100.0,23.0,9.607681000000001,0.0,0.97657984
CRFI4,2020-07-21,83.47999999999998,67.54999999999994,81.3,93.79166666666667,100.0,25.5,11.482561,0.44,1.2311673
CRFI4,2020-07-22,83.49799999999996,63.39199999999993,64.24,85.42666657765706,100.0,23.4,22.455361,0.0,2.1656702
CRFI4,2020-07-23,85.11799999999992,59.84599999999998,64.02,85.30541642506917,100.0,22.5,23.431682000000002,0.0,1.1406041
CRFI4,2020-07-24,89.11399999999996,62.419999999999895,74.61,88.24695719843325,100.0,24.2,23.829121,0.24000001,2.357525
CRFI4,2020-07-25,92.26399999999997,70.46599999999994,72.27,89.62428574335007,100.0,28.2,21.893759999999997,0.0,2.2257874
CRFI4,2020-07-26,93.5779999999999,73.50799999999994,74.2,92.85099983215332,100.0,29.8,18.42048,1.22,2.4449985
CRFI4,2020-07-27,84.48799999999999,65.71399999999997,59.0,87.44416681925456,100.0,25.1,18.809281,0.31,2.5898721
CRFI4,2020-07-28,86.53999999999995,59.91799999999992,58.58,84.21499980579723,100.0,23.0,24.64128,0.0,1.783325
CRFI4,2020-07-29,90.80599999999997,64.54399999999991,72.03,89.15199966430664,100.0,25.3,20.148479,0.0,1.6142361
CRFI4,2020-07-30,79.53799999999998,66.2359999999999,83.0,94.38333352406819,100.0,22.9,9.607681000000001,0.46,2.6073174
CRFI4,2020-07-31,78.3859999999999,61.30399999999989,69.13,87.38958326975505,99.7,19.8,15.984,0.0,1.9337854
